REGION,Year,Home,Value,Year_fct
Finger Lakes,2021,0HELTERED,6,2021
Central,2021,DOUBLED UP,701,2021
Central,2021,HOTEL_MOTEL,54,2021
Central,2021,0HELTERED,120,2021
Mohawk,2021,DOUBLED UP,20,2021
Mohawk,2021,HOTEL_MOTEL,6,2021
Mohawk,2021,0HELTERED,12,2021
Hudson Valley,2021,DOUBLED UP,36,2021
Hudson Valley,2021,HOTEL_MOTEL,7,2021
Hudson Valley,2021,0HELTERED,21,2021
Capital,2021,DOUBLED UP,307,2021
Capital,2021,HOTEL_MOTEL,88,2021
Capital,2021,0HELTERED,80,2021
Capital,2021,UN0HELTERED,6,2021
Hudson Valley,2021,DOUBLED UP,1365,2021
Hudson Valley,2021,HOTEL_MOTEL,37,2021
Hudson Valley,2021,0HELTERED,31,2021
North Country,2021,DOUBLED UP,396,2021
North Country,2021,HOTEL_MOTEL,7,2021
North Country,2021,0HELTERED,29,2021
North Country,2021,UN0HELTERED,8,2021
Capital,2021,DOUBLED UP,353,2021
Capital,2021,HOTEL_MOTEL,67,2021
Capital,2021,0HELTERED,33,2021
Capital,2021,DOUBLED UP,290,2021
Capital,2021,HOTEL_MOTEL,59,2021
Capital,2021,0HELTERED,154,2021
Mohawk,2021,DOUBLED UP,40,2021
Mohawk,2021,HOTEL_MOTEL,12,2021
Mohawk,2021,0HELTERED,12,2021
Southern Tier,2021,DOUBLED UP,15,2021
Finger Lakes,2021,DOUBLED UP,114,2021
Finger Lakes,2021,HOTEL_MOTEL,16,2021
Finger Lakes,2021,0HELTERED,14,2021
Southern Tier,2021,DOUBLED UP,206,2021
Southern Tier,2021,HOTEL_MOTEL,54,2021
Southern Tier,2021,0HELTERED,24,2021
Long Island,2021,DOUBLED UP,2388,2021
Long Island,2021,HOTEL_MOTEL,239,2021
Long Island,2021,0HELTERED,1112,2021
Long Island,2021,UN0HELTERED,22,2021
Hudson Valley,2021,DOUBLED UP,257,2021
Hudson Valley,2021,HOTEL_MOTEL,60,2021
Hudson Valley,2021,0HELTERED,27,2021
Hudson Valley,2021,UN0HELTERED,8,2021
Southern Tier,2021,DOUBLED UP,64,2021
Southern Tier,2021,HOTEL_MOTEL,14,2021
Southern Tier,2021,DOUBLED UP,128,2021
Southern Tier,2021,HOTEL_MOTEL,25,2021
Southern Tier,2021,0HELTERED,73,2021
Hudson Valley,2021,DOUBLED UP,398,2021
Hudson Valley,2021,HOTEL_MOTEL,119,2021
Hudson Valley,2021,0HELTERED,67,2021
Hudson Valley,2021,UN0HELTERED,11,2021
Capital,2021,DOUBLED UP,212,2021
Capital,2021,HOTEL_MOTEL,41,2021
Capital,2021,0HELTERED,7,2021
Capital,2021,UN0HELTERED,7,2021
Capital,2021,DOUBLED UP,149,2021
Capital,2021,HOTEL_MOTEL,16,2021
Capital,2021,0HELTERED,9,2021
Finger Lakes,2021,DOUBLED UP,245,2021
Finger Lakes,2021,HOTEL_MOTEL,23,2021
Finger Lakes,2021,0HELTERED,37,2021
Hudson Valley,2021,DOUBLED UP,1357,2021
Hudson Valley,2021,HOTEL_MOTEL,102,2021
Hudson Valley,2021,0HELTERED,688,2021
Finger Lakes,2021,DOUBLED UP,15,2021
Finger Lakes,2021,0HELTERED,7,2021
Finger Lakes,2021,DOUBLED UP,24,2021
Finger Lakes,2021,0HELTERED,10,2021
