County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
HERKIMER ,HERKIMER ,0,6,10,6,8,11,5,7,5,11,0,7,59,7,28,0,2009
JEFFERSON ,JEFFERSON ,14,15,13,7,10,9,5,6,5,5,6,8,91,18,13,0,2009
KINGS ,KINGS ,2175,2195,1797,1646,1577,1410,1388,1306,1607,1188,643,471,5582,39,13086,1744,2009
LEWIS ,LEWIS ,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2009
LIVINGSTON ,LIVINGSTON ,7,6,9,0,5,8,7,0,9,0,8,13,71,10,0,0,2009
MADISON ,MADISON ,7,0,10,0,5,7,7,0,0,0,7,13,63,0,12,0,2009
MONROE ,MONROE ,114,117,106,95,103,79,76,94,128,101,84,91,766,52,463,37,2009
MONTGOMERY ,MONTGOMERY ,7,6,13,9,5,0,0,0,6,8,7,9,52,7,30,0,2009
NASSAU ,NASSAU ,98,94,109,111,87,77,89,79,141,115,91,94,865,0,311,0,2009
NEW YORK ,NEW YORK ,1271,1265,1046,946,838,812,770,714,1010,772,464,368,4899,31,6473,862,2009
NIAGARA ,NIAGARA ,31,27,24,29,18,15,17,16,18,16,18,27,229,9,50,0,2009
ONEIDA ,ONEIDA ,21,11,13,15,15,0,5,8,15,11,13,19,123,0,38,0,2009
ONONDAGA ,ONONDAGA ,94,71,77,66,53,70,58,74,119,91,93,87,731,67,241,0,2009
ONTARIO ,ONTARIO ,18,31,23,29,20,10,23,7,29,18,14,27,188,39,32,22,2009
ORANGE ,ORANGE ,104,111,135,111,121,109,96,91,122,114,87,98,1161,172,0,0,2009
ORLEANS ,ORLEANS ,7,5,7,0,8,6,0,7,0,9,5,8,56,0,10,0,2009
OSWEGO ,OSWEGO ,52,50,47,39,30,25,26,43,58,57,56,72,525,8,80,8,2009
OTSEGO ,OTSEGO ,5,7,6,5,0,7,0,0,0,0,5,6,39,15,0,0,2009
PUTNAM ,PUTNAM ,22,14,16,13,16,12,9,6,11,10,8,14,92,7,60,0,2009
QUEENS ,QUEENS ,992,924,753,774,740,616,588,580,799,576,328,231,3746,34,5003,655,2009
RENSSELAER ,RENSSELAER ,46,39,43,30,40,34,34,39,26,45,31,52,333,91,71,13,2009
RICHMOND ,RICHMOND ,179,168,140,120,108,143,127,121,207,124,79,40,504,8,1198,121,2009
ROCKLAND ,ROCKLAND ,35,32,25,26,24,24,28,20,48,21,13,14,279,21,42,0,2009
SARATOGA ,SARATOGA ,44,43,41,50,34,41,40,36,60,52,46,57,431,88,0,0,2009
SCHENECTADY ,SCHENECTADY ,13,8,10,17,9,5,12,11,6,8,0,8,63,27,32,0,2009
SCHOHARIE ,SCHOHARIE ,0,0,0,0,0,7,0,0,10,0,0,0,28,7,13,0,2009
SCHUYLER ,SCHUYLER ,0,5,0,0,0,0,0,0,0,0,0,0,20,0,10,0,2009
SENECA ,SENECA ,0,5,5,0,0,0,6,5,10,5,7,14,50,0,16,0,2009
ST. LAWRENCE ,ST. LAWRENCE ,25,13,16,7,10,10,17,10,13,10,8,28,166,0,19,0,2009
STEUBEN ,STEUBEN ,12,7,7,8,10,8,9,10,7,12,12,13,104,15,0,0,2009
SUFFOLK ,SUFFOLK ,257,246,262,225,228,209,191,186,224,293,256,292,1842,0,1209,0,2009
SULLIVAN ,SULLIVAN ,30,37,44,29,35,31,30,23,22,27,27,27,213,113,87,0,2009
TIOGA ,TIOGA ,6,5,7,8,0,5,0,5,9,0,0,5,39,11,18,0,2009
TOMPKINS ,TOMPKINS ,8,15,13,8,0,7,10,7,10,9,8,7,59,0,54,0,2009
ULSTER ,ULSTER ,54,42,34,34,37,21,35,30,60,30,38,37,195,0,184,0,2009
WARREN ,WARREN ,5,5,0,8,7,0,0,5,0,5,0,0,33,22,8,0,2009
WASHINGTON ,WASHINGTON ,9,6,10,9,0,10,8,7,14,8,5,8,91,12,9,0,2009
WAYNE ,WAYNE ,7,12,11,7,7,7,7,7,9,21,22,20,115,0,29,0,2009
WESTCHESTER ,WESTCHESTER ,157,170,139,148,137,137,118,119,192,109,93,95,1157,0,674,0,2009
WYOMING ,WYOMING ,8,8,0,0,0,0,5,0,0,0,5,5,48,0,6,0,2009
YATES ,YATES ,6,5,5,0,0,0,0,0,0,0,0,7,35,0,0,0,2009
ALBANY ,ALBANY ,96,65,91,74,74,62,61,85,87,59,60,35,400,50,482,0,2011
ALLEGANY ,ALLEGANY ,9,8,6,0,0,9,0,6,0,5,6,10,63,6,11,0,2011
BRONX ,BRONX ,2605,2304,2162,1995,1815,1771,1624,1528,1717,1225,722,578,11400,38,10250,2814,2011
BROOME ,BROOME ,97,103,94,93,117,71,82,98,70,60,78,94,932,46,212,5,2011
CATTARAUGUS ,CATTARAUGUS ,9,6,9,6,7,5,8,6,5,7,7,17,72,8,25,0,2011
CAYUGA ,CAYUGA ,19,13,21,13,17,18,13,15,12,6,11,15,134,45,21,0,2011
CHAUTAUQUA ,CHAUTAUQUA ,30,33,19,25,26,13,18,14,19,27,23,26,228,0,59,0,2011
CHEMUNG ,CHEMUNG ,13,16,11,6,9,6,0,0,0,0,0,0,71,9,0,0,2011
CHENANGO ,CHENANGO ,6,7,11,6,8,7,7,5,9,0,6,6,78,5,10,0,2011
CLINTON ,CLINTON ,15,8,7,5,0,5,7,12,0,7,9,14,60,31,25,0,2011
COLUMBIA ,COLUMBIA ,17,23,24,13,11,16,13,11,20,17,14,24,144,39,46,9,2011
CORTLAND ,CORTLAND ,5,6,0,6,0,6,0,0,0,0,0,0,34,15,0,0,2011
